"Country_Code__c","Region__c","IATA_Code__c","ICAO_Code__c","airport","Location__Latitude__s","Location__Longitude__s"
"ES","Andalucia","AGP","LEMG","Malaga Airport","36.6749","-4.49911"
"ES","Andalucia","GRX","LEGR","Federico Garcia Lorca Airport (Granada Jaen Airport)","37.1887","-3.77736"
"ES","Andalucia","LEI","LEAM","Almeria Airport","36.8439","-2.3701"
"ES","Andalucia","ODB","LEBA","Cordoba Airport","37.842","-4.84888"
"ES","Andalucia","OZP","LEMO","Moron Air Base","37.1749","-5.61594"
"ES","Andalucia","ROZ","LERT","Naval Station Rota","36.6452","-6.34946"
"ES","Andalucia","SVQ","LEZL","Seville Airport","37.418","-5.89311"
"ES","Andalucia","XRY","LEJR","Jerez Airport (La Parra Airport)","36.7446","-6.06011"
"ES","Aragon","HSK","LEHC","Huesca-Pirineos Airport","42.0761","-0.316667"
"ES","Aragon","TEV","LETL","Teruel Airport","40.403","-1.2183"
"ES","Aragon","ZAZ","LEZG","Zaragoza Airport","41.6662","-1.04155"
"ES","Asturias, Principado de","OVD","LEAS","Asturias Airport (Oviedo Airport)","43.5636","-6.03462"
"ES","Canarias","ACE","GCRR","Lanzarote Airport","28.9455","-13.6052"
"ES","Canarias","FUE","GCFV","Fuerteventura Airport","28.4527","-13.8638"
"ES","Canarias","GMZ","GCGM","La Gomera Airport","28.0296","-17.2146"
"ES","Canarias","LPA","GCLP","Gran Canaria Airport","27.9319","-15.3866"
"ES","Canarias","SPC","GCLA","La Palma Airport","28.6265","-17.7556"
"ES","Canarias","VDE","GCHI","El Hierro Airport","27.8148","-17.8871"
"ES","Cantabria","SDR","LEXJ","Santander Airport","43.4271","-3.82001"
"ES","Castilla y Leon","CQM","LERL","Ciudad Real Central Airport","38.8564","-3.97"
"ES","Castilla y Leon","LEN","LELN","Leon Airport","42.589","-5.65556"
"ES","Castilla y Leon","RGS","LEBG","Burgos Airport","42.3576","-3.62076"
"ES","Castilla y Leon","SLM","LESA","Salamanca Airport","40.9521","-5.50199"
"ES","Castilla y Leon","VLL","LEVD","Valladolid Airport","41.7061","-4.85194"
"ES","Castilla-La Mancha","ABC","LEAB","Albacete Airport","38.9485","-1.86352"
"ES","Catalunya","BCN","LEBL","Barcelona El Prat Airport","41.2971","2.07846"
"ES","Catalunya","GRO","LEGE","Girona-Costa Brava Airport","41.901","2.76055"
"ES","Catalunya","ILD","LEDA","Lleida-Alguaire Airport","41.7282","0.535023"
"ES","Catalunya","LEU","LESU","Andorraâ€“La Seu d'Urgell Airport","42.3386","1.40917"
"ES","Catalunya","REU","LERS","Reus Airport","41.1474","1.16717"
"ES","Extremadura","BJZ","LEBZ","Badajoz Airport (Talavera la Real Air Base)","38.8913","-6.82133"
"ES","Galicia","LCG","LECO","A Coruna Airport","43.3021","-8.37726"
"ES","Galicia","SCQ","LEST","Santiago de Compostela Airport","42.8963","-8.41514"
"ES","Galicia","VGO","LEVX","Vigo-Peinador Airport","42.2318","-8.62677"
"ES","Illes Balears","IBZ","LEIB","Ibiza Airport","38.8729","1.37312"
"ES","Illes Balears","MAH","LEMH","Menorca Airport (Mahon Airport)","39.8626","4.21865"
"ES","Illes Balears","PMI","LEPA","Palma de Mallorca Airport","39.5517","2.73881"
"ES","La Rioja","RJL","LELO","Logrono-Agoncilo","42.461","-2.32224"
"ES","Madrid, Comunidad de","MAD","LEMD","Adolfo Suarez Madrid-Barajas Airport","40.4719","-3.56264"
"ES","Madrid, Comunidad de","TOJ","LETO","Madrid-Torrejon Airport","40.4967","-3.44587"
"ES","Melilla","MLN","GEML","Melilla Airport","35.2798","-2.95626"
"ES","Murcia, Region de","MJV","LELC","Murcia-San Javier Airport","37.775","-0.812389"
"ES","Murcia, Region de","RMU","LEMI","Region de Murcia International Airport","37.803","-1.125"
"ES","Navarra, Comunidad Foral de","PNA","LEPP","Pamplona Airport","42.77","-1.64633"
"ES","Pais Vasco","BIO","LEBB","Bilbao Airport","43.3011","-2.91061"
"ES","Pais Vasco","EAS","LESO","San Sebastian Airport","43.3565","-1.79061"
"ES","Pais Vasco","VIT","LEVT","Vitoria Airport","42.8828","-2.72447"
"ES","Valenciana, Comunidad","ALC","LEAL","Alicante-Elche Airport","38.2822","-0.558156"
"ES","Valenciana, Comunidad","CDT","LECH","Castellon-Costa Azahar Airport","40.2139","0.073333"
"ES","Valenciana, Comunidad","VLC","LEVC","Valencia Airport","39.4893","-0.481625"